# Machine-readable review queue. One row per crossing; not an active transport file.
rank	routeAProven	detourSteps	detourCapped	edgeKey	from	to	direction	name	action	label
63	false	>512	true	1711,6116,0 E	1711,6116,0	1712,6116,0	E	Curtain	Open	Open Curtain
64	false	>512	true	3071,9896,0 E	3072,9896,0	3071,9896,0	W	Curtain	Enter	Enter Curtain
65	false	>512	true	3072,9882,0 E	3073,9882,0	3072,9882,0	W	Curtain	Enter	Enter Curtain
66	false	>512	true	3078,9899,0 N	3078,9899,0	3078,9900,0	N	Curtain	Enter	Enter Curtain
67	false	>512	true	3082,9877,0 N	3082,9878,0	3082,9877,0	S	Curtain	Enter	Enter Curtain
68	false	>512	true	3119,3105,0 E	3119,3105,0	3120,3105,0	E	Curtain	Open	Open Curtain
69	false	>512	true	3119,3108,0 E	3119,3108,0	3120,3108,0	E	Curtain	Open	Open Curtain
70	false	>512	true	3172,2976,0 N	3172,2977,0	3172,2976,0	S	Curtain	Open	Open Curtain
71	false	>512	true	3182,2984,0 E	3182,2984,0	3183,2984,0	E	Curtain	Open	Open Curtain
72	false	>512	true	3287,3173,1 E	3288,3173,1	3287,3173,1	W	Curtain	Open	Open Curtain
73	false	>512	true	3291,3030,0 N	3291,3030,0	3291,3031,0	N	Curtain	Open	Open Curtain
74	false	>512	true	3344,2955,0 E	3345,2955,0	3344,2955,0	W	Curtain	Open	Open Curtain
75	false	>512	true	3350,2956,0 N	3350,2957,0	3350,2956,0	S	Curtain	Open	Open Curtain
76	false	>512	true	3359,2981,0 N	3359,2981,0	3359,2982,0	N	Curtain	Open	Open Curtain
77	false	>512	true	3360,2993,0 E	3361,2993,0	3360,2993,0	W	Curtain	Open	Open Curtain
78	false	>512	true	3364,2999,0 N	3364,2999,0	3364,3000,0	N	Curtain	Open	Open Curtain
79	false	>512	true	3365,2983,1 E	3366,2983,1	3365,2983,1	W	Curtain	Open	Open Curtain
80	false	>512	true	3372,2968,1 N	3372,2969,1	3372,2968,1	S	Curtain	Open	Open Curtain
81	false	>512	true	1237,3683,0 E	1237,3683,0	1238,3683,0	E	Door	Open	Open Door
82	false	>512	true	1239,3681,1 E	1240,3681,1	1239,3681,1	W	Door	Open	Open Door
83	false	>512	true	1242,3682,0 N	1242,3682,0	1242,3683,0	N	Door	Open	Open Door
84	false	>512	true	1243,3680,1 N	1243,3681,1	1243,3680,1	S	Door	Open	Open Door
85	false	>512	true	1243,3682,1 N	1243,3682,1	1243,3683,1	N	Door	Open	Open Door
86	false	>512	true	1244,3685,0 E	1245,3685,0	1244,3685,0	W	Door	Open	Open Door
87	false	>512	true	1284,3758,0 N	1284,3758,0	1284,3759,0	N	Door	Open	Open Door
88	false	>512	true	1382,3816,0 N	1382,3817,0	1382,3816,0	S	Door	Open	Open Door
89	false	>512	true	1431,3796,0 E	1431,3796,0	1432,3796,0	E	Door	Open	Open Door
90	false	>512	true	1434,3743,0 N	1434,3744,0	1434,3743,0	S	Door	Open	Open Door
91	false	>512	true	1440,3788,0 N	1440,3788,0	1440,3789,0	N	Door	Open	Open Door
92	false	>512	true	1456,3748,0 E	1456,3748,0	1457,3748,0	E	Door	Open	Open Door
93	false	>512	true	1462,3758,0 N	1462,3759,0	1462,3758,0	S	Door	Open	Open Door
94	false	>512	true	1489,3834,0 E	1489,3834,0	1490,3834,0	E	Door	Open	Open Door
95	false	>512	true	1512,3832,0 E	1513,3832,0	1512,3832,0	W	Door	Open	Open Door
96	false	>512	true	1525,3746,0 N	1525,3747,0	1525,3746,0	S	Door	Open	Open Door
97	false	>512	true	1534,3723,0 N	1534,3723,0	1534,3724,0	N	Door	Open	Open Door
98	false	>512	true	1536,3808,0 E	1537,3808,0	1536,3808,0	W	Door	Open	Open Door
99	false	>512	true	1542,3783,0 N	1542,3783,0	1542,3784,0	N	Door	Open	Open Door
100	false	>512	true	1551,3782,0 E	1552,3782,0	1551,3782,0	W	Door	Open	Open Door
101	false	>512	true	1553,3799,0 N	1553,3799,0	1553,3800,0	N	Door	Open	Open Door
102	false	>512	true	1560,3759,0 E	1561,3759,0	1560,3759,0	W	Door	Open	Open Door
103	false	>512	true	1561,3737,0 E	1561,3737,0	1562,3737,0	E	Door	Open	Open Door
104	false	>512	true	1595,3819,0 E	1596,3819,0	1595,3819,0	W	Door	Open	Open Door
105	false	>512	true	1595,3820,0 E	1596,3820,0	1595,3820,0	W	Door	Open	Open Door
106	false	>512	true	1622,3807,0 E	1623,3807,0	1622,3807,0	W	Door	Open	Open Door
107	false	>512	true	1622,3808,0 E	1623,3808,0	1622,3808,0	W	Door	Open	Open Door
108	false	>512	true	1627,4829,0 E	1628,4829,0	1627,4829,0	W	Door	Open	Open Door
109	false	>512	true	1631,4834,0 N	1631,4835,0	1631,4834,0	S	Door	Open	Open Door
110	false	>512	true	1632,3817,0 N	1632,3817,0	1632,3818,0	N	Door	Open	Open Door
111	false	>512	true	1632,4837,0 E	1633,4837,0	1632,4837,0	W	Door	Open	Open Door
112	false	>512	true	1633,3817,0 N	1633,3817,0	1633,3818,0	N	Door	Open	Open Door
113	false	>512	true	1633,4842,0 E	1634,4842,0	1633,4842,0	W	Door	Open	Open Door
114	false	>512	true	1634,3797,0 N	1634,3798,0	1634,3797,0	S	Door	Open	Open Door
115	false	>512	true	1635,3797,0 N	1635,3798,0	1635,3797,0	S	Door	Open	Open Door
116	false	>512	true	1635,4838,0 E	1635,4838,0	1636,4838,0	E	Door	Open	Open Door
117	false	>512	true	1640,4828,0 E	1640,4828,0	1641,4828,0	E	Door	Open	Open Door
118	false	>512	true	1642,3805,0 E	1642,3805,0	1643,3805,0	E	Door	Open	Open Door
119	false	>512	true	1642,3806,0 E	1642,3806,0	1643,3806,0	E	Door	Open	Open Door
120	false	>512	true	1643,4839,0 N	1643,4839,0	1643,4840,0	N	Door	Open	Open Door
121	false	>512	true	1650,3736,0 N	1650,3736,0	1650,3737,0	N	Door	Open	Open Door
122	false	>512	true	1651,3736,0 N	1651,3736,0	1651,3737,0	N	Door	Open	Open Door
123	false	>512	true	1664,6098,0 E	1664,6098,0	1665,6098,0	E	Door	Open	Open Door
124	false	>512	true	1670,6092,0 E	1671,6092,0	1670,6092,0	W	Door	Open	Open Door
125	false	>512	true	1677,3784,0 E	1678,3784,0	1677,3784,0	W	Door	Open	Open Door
126	false	>512	true	1677,3785,0 E	1678,3785,0	1677,3785,0	W	Door	Open	Open Door
127	false	>512	true	1677,3802,0 E	1678,3802,0	1677,3802,0	W	Door	Open	Open Door
128	false	>512	true	1677,3803,0 E	1678,3803,0	1677,3803,0	W	Door	Open	Open Door
129	false	>512	true	1678,6133,0 N	1678,6134,0	1678,6133,0	S	Door	Open	Open Door
130	false	>512	true	1689,6115,0 E	1690,6115,0	1689,6115,0	W	Door	Open	Open Door
131	false	>512	true	1693,3723,0 N	1693,3723,0	1693,3724,0	N	Door	Open	Open Door
132	false	>512	true	1694,3723,0 N	1694,3723,0	1694,3724,0	N	Door	Open	Open Door
133	false	>512	true	1701,3763,0 N	1701,3764,0	1701,3763,0	S	Door	Open	Open Door
134	false	>512	true	1702,3763,0 N	1702,3764,0	1702,3763,0	S	Door	Open	Open Door
135	false	>512	true	1716,3742,0 E	1717,3742,0	1716,3742,0	W	Door	Open	Open Door
136	false	>512	true	1716,3743,0 E	1717,3743,0	1716,3743,0	W	Door	Open	Open Door
137	false	>512	true	1716,3757,0 E	1717,3757,0	1716,3757,0	W	Door	Open	Open Door
138	false	>512	true	1716,3758,0 E	1717,3758,0	1716,3758,0	W	Door	Open	Open Door
139	false	>512	true	1720,6114,0 E	1721,6114,0	1720,6114,0	W	Door	Open	Open Door
140	false	>512	true	1720,6115,0 E	1721,6115,0	1720,6115,0	W	Door	Open	Open Door
141	false	>512	true	1721,6132,0 E	1722,6132,0	1721,6132,0	W	Door	Open	Open Door
142	false	>512	true	1810,9944,0 N	1810,9945,0	1810,9944,0	S	Door	Open	Open Door
143	false	>512	true	1864,5127,0 E	1864,5127,0	1865,5127,0	E	Door	Open	Open Door
144	false	>512	true	1864,5137,0 E	1864,5137,0	1865,5137,0	E	Door	Open	Open Door
145	false	>512	true	1881,5022,0 E	1881,5022,0	1882,5022,0	E	Door	Open	Open Door
146	false	>512	true	1881,5030,0 E	1881,5030,0	1882,5030,0	E	Door	Open	Open Door
147	false	>512	true	1886,5032,0 N	1886,5033,0	1886,5032,0	S	Door	Open	Open Door
148	false	>512	true	1890,5019,0 E	1891,5019,0	1890,5019,0	W	Door	Open	Open Door
149	false	>512	true	2033,4636,0 E	2034,4636,0	2033,4636,0	W	Door	Open	Open Door
150	false	>512	true	2037,4633,0 N	2037,4633,0	2037,4634,0	N	Door	Open	Open Door
151	false	>512	true	2042,4633,0 N	2042,4633,0	2042,4634,0	N	Door	Open	Open Door
152	false	>512	true	2191,4950,1 E	2191,4950,1	2192,4950,1	E	Door	Open	Open Door
153	false	>512	true	2191,4958,0 E	2191,4958,0	2192,4958,0	E	Door	Open	Open Door
154	false	>512	true	2191,4958,1 E	2191,4958,1	2192,4958,1	E	Door	Open	Open Door
155	false	>512	true	2198,4943,1 N	2198,4943,1	2198,4944,1	N	Door	Open	Open Door
156	false	>512	true	2217,4943,1 N	2217,4943,1	2217,4944,1	N	Door	Open	Open Door
157	false	>512	true	2223,4950,1 E	2224,4950,1	2223,4950,1	W	Door	Open	Open Door
158	false	>512	true	2223,4958,0 E	2224,4958,0	2223,4958,0	W	Door	Open	Open Door
159	false	>512	true	2223,4958,1 E	2224,4958,1	2223,4958,1	W	Door	Open	Open Door
160	false	>512	true	2319,3677,0 N	2319,3677,0	2319,3678,0	N	Door	Open	Open Door
161	false	>512	true	2319,3689,0 N	2319,3690,0	2319,3689,0	S	Door	Open	Open Door
162	false	>512	true	2321,3667,0 E	2322,3667,0	2321,3667,0	W	Door	Open	Open Door
163	false	>512	true	2326,3671,0 N	2326,3672,0	2326,3671,0	S	Door	Open	Open Door
164	false	>512	true	2337,3675,0 E	2337,3675,0	2338,3675,0	E	Door	Open	Open Door
165	false	>512	true	2339,3800,0 N	2339,3801,0	2339,3800,0	S	Door	Open	Open Door
166	false	>512	true	2351,3679,0 E	2351,3679,0	2352,3679,0	E	Door	Open	Open Door
167	false	>512	true	2398,5542,0 E	2399,5542,0	2398,5542,0	W	Door	Open	Open Door
168	false	>512	true	2442,3183,0 N	2442,3183,0	2442,3184,0	N	Door	Open	Open Door
169	false	>512	true	2502,3250,0 N	2502,3250,0	2502,3251,0	N	Door	Open	Open Door
170	false	>512	true	2515,9575,0 N	2515,9575,0	2515,9576,0	N	Door	Open	Open Door
171	false	>512	true	2538,9097,1 E	2539,9097,1	2538,9097,1	W	Door	Open	Open Door
172	false	>512	true	2540,9900,0 N	2540,9900,0	2540,9901,0	N	Door	Open	Open Door
173	false	>512	true	2542,9125,1 N	2542,9126,1	2542,9125,1	S	Door	Open	Open Door
174	false	>512	true	2542,9892,0 N	2542,9892,0	2542,9893,0	N	Door	Open	Open Door
175	false	>512	true	2546,3325,1 E	2547,3325,1	2546,3325,1	W	Door	Open	Open Door
176	false	>512	true	2551,3320,0 N	2551,3320,0	2551,3321,0	N	Door	Open	Open Door
177	false	>512	true	2551,3327,0 N	2551,3328,0	2551,3327,0	S	Door	Open	Open Door
178	false	>512	true	2564,3356,0 E	2565,3356,0	2564,3356,0	W	Door	Open	Open Door
179	false	>512	true	2566,5192,0 E	2567,5192,0	2566,5192,0	W	Door	Open	Open Door
180	false	>512	true	2566,5198,0 E	2567,5198,0	2566,5198,0	W	Door	Open	Open Door
181	false	>512	true	2572,3287,1 N	2572,3288,1	2572,3287,1	S	Door	Open	Open Door
182	false	>512	true	2572,3305,1 N	2572,3305,1	2572,3306,1	N	Door	Open	Open Door
183	false	>512	true	2576,5192,0 E	2576,5192,0	2577,5192,0	E	Door	Open	Open Door
184	false	>512	true	2576,5198,0 E	2576,5198,0	2577,5198,0	E	Door	Open	Open Door
185	false	>512	true	2579,4455,0 N	2579,4455,0	2579,4456,0	N	Door	Open	Open Door
186	false	>512	true	2579,5278,0 N	2579,5278,0	2579,5279,0	N	Door	Pass	Pass Door
187	false	>512	true	2579,5288,0 N	2579,5288,0	2579,5289,0	N	Door	Pass	Pass Door
188	false	>512	true	2579,5298,0 N	2579,5298,0	2579,5299,0	N	Door	Pass	Pass Door
189	false	>512	true	2581,9120,1 E	2582,9120,1	2581,9120,1	W	Door	Open	Open Door
190	false	>512	true	2584,3141,0 E	2585,3141,0	2584,3141,0	W	Door	Open	Open Door
191	false	>512	true	2587,5278,0 N	2587,5278,0	2587,5279,0	N	Door	Pass	Pass Door
192	false	>512	true	2587,5288,0 N	2587,5288,0	2587,5289,0	N	Door	Pass	Pass Door
193	false	>512	true	2587,5298,0 N	2587,5298,0	2587,5299,0	N	Door	Pass	Pass Door
194	false	>512	true	2594,3266,0 N	2594,3266,0	2594,3267,0	N	Door	Open	Open Door
195	false	>512	true	2599,5288,0 N	2599,5288,0	2599,5289,0	N	Door	Pass	Pass Door
196	false	>512	true	2599,5298,0 N	2599,5298,0	2599,5299,0	N	Door	Pass	Pass Door
197	false	>512	true	2602,5278,0 N	2602,5278,0	2602,5279,0	N	Door	Pass	Pass Door
198	false	>512	true	2606,9892,0 N	2606,9892,0	2606,9893,0	N	Door	Open	Open Door
199	false	>512	true	2607,5288,0 N	2607,5288,0	2607,5289,0	N	Door	Pass	Pass Door
200	false	>512	true	2607,5298,0 N	2607,5298,0	2607,5299,0	N	Door	Pass	Pass Door
201	false	>512	true	2610,3316,0 E	2610,3316,0	2611,3316,0	E	Door	Open	Open Door
202	false	>512	true	2617,3171,0 N	2617,3171,0	2617,3172,0	N	Door	Open	Open Door
203	false	>512	true	2631,3666,0 N	2631,3667,0	2631,3666,0	S	Door	Open	Open Door
204	false	>512	true	2633,3323,0 E	2634,3323,0	2633,3323,0	W	Door	Open	Open Door
205	false	>512	true	2635,3321,0 N	2635,3321,0	2635,3322,0	N	Door	Open	Open Door
206	false	>512	true	2636,3666,0 N	2636,3667,0	2636,3666,0	S	Door	Open	Open Door
207	false	>512	true	2639,10382,0 E	2640,10382,0	2639,10382,0	W	Door	Open	Open Door
208	false	>512	true	2643,10417,0 N	2643,10418,0	2643,10417,0	S	Door	Open	Open Door
209	false	>512	true	2646,9870,0 N	2646,9870,0	2646,9871,0	N	Door	Open	Open Door
210	false	>512	true	2648,9185,1 N	2648,9185,1	2648,9186,1	N	Door	Open	Open Door
211	false	>512	true	2648,9857,0 N	2648,9857,0	2648,9858,0	N	Door	Open	Open Door
212	false	>512	true	2657,3496,0 N	2657,3496,0	2657,3497,0	N	Door	Open	Open Door
213	false	>512	true	2662,10396,0 E	2662,10396,0	2663,10396,0	E	Door	Open	Open Door
214	false	>512	true	2665,9663,0 N	2665,9663,0	2665,9664,0	N	Door	Open	Open Door
215	false	>512	true	2666,3683,0 E	2667,3683,0	2666,3683,0	W	Door	Open	Open Door
216	false	>512	true	2666,9189,1 N	2666,9189,1	2666,9190,1	N	Door	Open	Open Door
217	false	>512	true	2674,3303,0 N	2674,3304,0	2674,3303,0	S	Door	Open	Open Door
218	false	>512	true	2674,3305,0 N	2674,3305,0	2674,3306,0	N	Door	Open	Open Door
219	false	>512	true	2694,5292,0 N	2694,5293,0	2694,5292,0	S	Door	Open	Open Door
220	false	>512	true	2696,5324,1 E	2696,5324,1	2697,5324,1	E	Door	Open	Open Door
221	false	>512	true	2697,5336,1 N	2697,5336,1	2697,5337,1	N	Door	Open	Open Door
222	false	>512	true	2697,5343,1 E	2697,5343,1	2698,5343,1	E	Door	Open	Open Door
223	false	>512	true	2698,5288,1 N	2698,5289,1	2698,5288,1	S	Door	Open	Open Door
224	false	>512	true	2698,5299,1 N	2698,5300,1	2698,5299,1	S	Door	Open	Open Door
225	false	>512	true	2699,5297,0 E	2699,5297,0	2700,5297,0	E	Door	Open	Open Door
226	false	>512	true	2699,5317,1 E	2699,5317,1	2700,5317,1	E	Door	Open	Open Door
227	false	>512	true	2700,5262,0 E	2700,5262,0	2701,5262,0	E	Door	Open	Open Door
228	false	>512	true	2701,5317,0 E	2702,5317,0	2701,5317,0	W	Door	Open	Open Door
229	false	>512	true	2701,5331,0 E	2702,5331,0	2701,5331,0	W	Door	Open	Open Door
230	false	>512	true	2701,5354,1 N	2701,5354,1	2701,5355,1	N	Door	Open	Open Door
231	false	>512	true	2706,5265,0 E	2706,5265,0	2707,5265,0	E	Door	Open	Open Door
232	false	>512	true	2708,5362,0 E	2709,5362,0	2708,5362,0	W	Door	Open	Open Door
233	false	>512	true	2712,3283,0 E	2713,3283,0	2712,3283,0	W	Door	Open	Open Door
234	false	>512	true	2717,3274,0 E	2718,3274,0	2717,3274,0	W	Door	Open	Open Door
235	false	>512	true	2719,9671,0 N	2719,9671,0	2719,9672,0	N	Door	Open	Open Door
236	false	>512	true	2722,9671,0 N	2722,9671,0	2722,9672,0	N	Door	Open	Open Door
237	false	>512	true	2723,3275,0 N	2723,3276,0	2723,3275,0	S	Door	Open	Open Door
238	false	>512	true	2723,9710,0 N	2723,9711,0	2723,9710,0	S	Door	Open	Open Door
239	false	>512	true	2727,9690,0 E	2727,9690,0	2728,9690,0	E	Door	Open	Open Door
240	false	>512	true	2729,3276,0 E	2729,3276,0	2730,3276,0	E	Door	Open	Open Door
241	false	>512	true	2730,3292,0 E	2730,3292,0	2731,3292,0	E	Door	Open	Open Door
242	false	>512	true	2730,5354,0 E	2730,5354,0	2731,5354,0	E	Door	Open	Open Door
243	false	>512	true	2733,5362,1 N	2733,5363,1	2733,5362,1	S	Door	Open	Open Door
244	false	>512	true	2734,3295,0 N	2734,3296,0	2734,3295,0	S	Door	Open	Open Door
245	false	>512	true	2736,5285,1 E	2737,5285,1	2736,5285,1	W	Door	Open	Open Door
246	false	>512	true	2736,5291,0 E	2737,5291,0	2736,5291,0	W	Door	Open	Open Door
247	false	>512	true	2736,5295,1 E	2737,5295,1	2736,5295,1	W	Door	Open	Open Door
248	false	>512	true	2736,5353,1 N	2736,5353,1	2736,5354,1	N	Door	Open	Open Door
249	false	>512	true	2737,5264,0 E	2738,5264,0	2737,5264,0	W	Door	Open	Open Door
250	false	>512	true	2739,5338,1 E	2740,5338,1	2739,5338,1	W	Door	Open	Open Door
251	false	>512	true	2740,5327,1 N	2740,5327,1	2740,5328,1	N	Door	Open	Open Door
252	false	>512	true	2740,5331,0 N	2740,5332,0	2740,5331,0	S	Door	Open	Open Door
253	false	>512	true	2741,5264,1 N	2741,5264,1	2741,5265,1	N	Door	Open	Open Door
254	false	>512	true	2741,5362,0 N	2741,5363,0	2741,5362,0	S	Door	Open	Open Door
255	false	>512	true	2742,5260,0 N	2742,5260,0	2742,5261,0	N	Door	Open	Open Door
256	false	>512	true	2744,5338,0 N	2744,5338,0	2744,5339,0	N	Door	Open	Open Door
257	false	>512	true	2746,5331,0 N	2746,5332,0	2746,5331,0	S	Door	Open	Open Door
258	false	>512	true	2763,3197,0 E	2764,3197,0	2763,3197,0	W	Door	Open	Open Door
259	false	>512	true	2764,3503,1 E	2764,3503,1	2765,3503,1	E	Door	Open	Open Door
260	false	>512	true	2767,3288,1 E	2768,3288,1	2767,3288,1	W	Door	Open	Open Door
261	false	>512	true	2774,3187,0 N	2774,3187,0	2774,3188,0	N	Door	Open	Open Door
262	false	>512	true	2781,3196,0 N	2781,3197,0	2781,3196,0	S	Door	Open	Open Door
263	false	>512	true	2788,3189,0 N	2788,3189,0	2788,3190,0	N	Door	Open	Open Door
264	false	>512	true	2794,3199,0 N	2794,3199,0	2794,3200,0	N	Door	Open	Open Door
265	false	>512	true	2810,3170,0 E	2811,3170,0	2810,3170,0	W	Door	Open	Open Door
266	false	>512	true	2835,5093,0 N	2835,5093,0	2835,5094,0	N	Door	Open	Open Door
267	false	>512	true	2838,5099,1 E	2838,5099,1	2839,5099,1	E	Door	Open	Open Door
268	false	>512	true	2838,5100,0 E	2838,5100,0	2839,5100,0	E	Door	Open	Open Door
269	false	>512	true	2839,5091,0 E	2840,5091,0	2839,5091,0	W	Door	Open	Open Door
270	false	>512	true	2843,5096,0 N	2843,5097,0	2843,5096,0	S	Door	Open	Open Door
271	false	>512	true	2852,5096,0 N	2852,5097,0	2852,5096,0	S	Door	Open	Open Door
272	false	>512	true	2855,5091,0 E	2855,5091,0	2856,5091,0	E	Door	Open	Open Door
273	false	>512	true	2856,5099,1 E	2857,5099,1	2856,5099,1	W	Door	Open	Open Door
274	false	>512	true	2856,5100,0 E	2857,5100,0	2856,5100,0	W	Door	Open	Open Door
275	false	>512	true	2860,5093,0 N	2860,5093,0	2860,5094,0	N	Door	Open	Open Door
276	false	>512	true	2901,3465,0 N	2901,3465,0	2901,3466,0	N	Door	Open	Open Door
277	false	>512	true	2901,3470,1 N	2901,3471,1	2901,3470,1	S	Door	Open	Open Door
278	false	>512	true	2901,3510,0 E	2902,3510,0	2901,3510,0	W	Door	Open	Open Door
