# Openable objects decoded from the OSRS cache. Generated by dumpAccessPoints.
# covered=yes means our transport data already has a row within 1 tile.
x	y	plane	objectId	name	action	locType	orientation	covered	inShippedMap
3422	4072	2	47343	Arena	Enter	10	2	no	no
3423	4053	0	47344	Arena	Exit	10	3	no	no
3423	4056	0	47340	Arena	Enter	10	1	no	no
3423	4071	0	47340	Arena	Enter	10	3	no	no
3423	4074	0	47344	Arena	Exit	10	1	no	no
3431	4063	0	47340	Arena	Enter	10	0	no	no
3432	4062	1	47342	Arena	Enter	10	3	no	no
3432	4062	2	47343	Arena	Enter	10	3	no	no
3434	4063	0	47344	Arena	Exit	10	2	no	no
2821	5301	2	26365	Armadyl altar	Teleport	10	3	no	yes
1477	2927	0	54715	Backstage entrance	Enter	10	3	no	no
2744	2767	0	4807	Bamboo Door	Open	0	0	no	yes
2769	2748	0	4807	Bamboo Door	Open	0	3	no	yes
2777	9195	0	14974	Bamboo Door	Open	0	0	no	yes
2782	3057	0	779	Bamboo Door	Open	0	2	no	yes
2792	3054	0	779	Bamboo Door	Open	0	2	no	yes
2802	3058	0	779	Bamboo Door	Open	0	2	no	yes
2719	2766	0	4787	Bamboo Gate	Open	10	0	no	yes
2721	2766	0	4788	Bamboo Gate	Open	10	2	no	yes
2510	9173	2	4772	Bamboo Ladder	Climb-up	10	2	no	yes
2510	9173	1	28676	Bamboo Ladder	Climb-up	10	2	no	yes
2713	2766	0	4775	Bamboo Ladder	Climb-up	10	2	no	yes
2713	2766	1	4775	Bamboo Ladder	Climb-up	10	2	no	yes
2713	2766	2	4777	Bamboo Ladder	Climb-down	10	2	no	yes
2729	2766	0	4774	Bamboo Ladder	Climb-up	10	0	no	yes
2729	2766	1	4774	Bamboo Ladder	Climb-up	10	0	no	yes
2729	2766	2	4776	Bamboo Ladder	Climb-down	10	0	no	yes
2734	2791	0	4772	Bamboo Ladder	Climb-up	10	3	no	yes
2734	2791	1	4778	Bamboo Ladder	Climb-down	10	3	no	yes
2748	2768	1	4772	Bamboo Ladder	Climb-up	10	0	no	yes
2748	2768	2	4778	Bamboo Ladder	Climb-down	10	0	no	yes
2750	2794	0	4772	Bamboo Ladder	Climb-up	10	3	no	yes
2750	2794	1	4778	Bamboo Ladder	Climb-down	10	3	no	yes
2750	2799	1	4772	Bamboo Ladder	Climb-up	10	0	no	yes
2750	2799	2	4778	Bamboo Ladder	Climb-down	10	0	no	yes
2752	2767	0	4772	Bamboo Ladder	Climb-up	10	3	no	yes
2752	2767	1	4778	Bamboo Ladder	Climb-down	10	3	no	yes
2760	2765	0	4772	Bamboo Ladder	Climb-up	10	1	no	yes
2760	2765	1	4778	Bamboo Ladder	Climb-down	10	1	no	yes
2768	2749	0	4772	Bamboo Ladder	Climb-up	10	0	no	yes
2768	2749	1	4778	Bamboo Ladder	Climb-down	10	0	no	yes
2768	2779	0	4772	Bamboo Ladder	Climb-up	10	3	no	yes
2768	2779	1	4778	Bamboo Ladder	Climb-down	10	3	no	yes
2768	2803	1	4773	Bamboo Ladder	Climb-up	10	3	no	yes
2768	2803	2	4779	Bamboo Ladder	Climb-down	10	3	no	yes
2769	2788	0	4772	Bamboo Ladder	Climb-up	10	3	no	yes
2769	2788	1	4778	Bamboo Ladder	Climb-down	10	3	no	yes
2774	2777	0	4772	Bamboo Ladder	Climb-up	10	0	no	yes
2774	2777	1	4778	Bamboo Ladder	Climb-down	10	0	no	yes
2779	2768	0	4772	Bamboo Ladder	Climb-up	10	1	no	yes
2779	2768	1	4778	Bamboo Ladder	Climb-down	10	1	no	yes
2780	2784	0	4772	Bamboo Ladder	Climb-up	10	2	no	yes
2780	2784	1	4778	Bamboo Ladder	Climb-down	10	2	no	yes
2781	2783	1	4772	Bamboo Ladder	Climb-up	10	3	no	yes
2781	2783	2	4778	Bamboo Ladder	Climb-down	10	3	no	yes
2787	2795	1	4773	Bamboo Ladder	Climb-up	10	3	no	yes
2787	2795	2	4779	Bamboo Ladder	Climb-down	10	3	no	yes
2789	2784	1	4773	Bamboo Ladder	Climb-up	10	0	no	yes
2789	2784	2	4779	Bamboo Ladder	Climb-down	10	0	no	yes
2794	2773	0	4772	Bamboo Ladder	Climb-up	10	2	no	yes
2794	2773	1	4778	Bamboo Ladder	Climb-down	10	2	no	yes
2803	2734	0	4743	Bamboo Ladder	Climb-up	10	3	no	yes
2803	2734	2	4744	Bamboo Ladder	Climb-down	10	3	no	yes
2805	2785	0	4772	Bamboo Ladder	Climb-up	10	0	no	yes
2805	2785	1	4778	Bamboo Ladder	Climb-down	10	0	no	yes
2869	5370	2	26366	Bandos altar	Teleport	10	0	no	yes
1523	3640	2	42213	Bar	Climb	10	2	no	yes
1950	4827	0	2476	Barrel	Climb-on	10	3	no	yes
1951	4832	0	2478	Barrel	Climb-on	10	3	no	yes
1954	4823	0	2477	Barrel	Climb-on	10	1	no	yes
1954	4830	0	2476	Barrel	Climb-on	10	3	no	yes
1957	4820	0	2478	Barrel	Climb-on	10	3	no	yes
1957	4827	0	2477	Barrel	Climb-on	10	3	no	yes
2903	6179	0	35871	Barricade	Escape	10	2	no	yes
1861	5316	0	12351	Barrier	Pass-through	10	3	no	yes
1867	5323	0	12353	Barrier	Pass-through	10	2	no	yes
1867	5324	0	12352	Barrier	Pass-through	10	2	no	yes
2007	5914	0	41199	Barrier	Pass	0	2	no	yes
2028	5914	0	41200	Barrier	Pass	0	0	no	yes
2199	2842	0	41199	Barrier	Pass	0	2	no	yes
2220	2842	0	41200	Barrier	Pass	0	0	no	yes
3033	6062	0	36201	Barrier	Pass	10	0	no	yes
3169	4379	1	32755	Barrier	Pass	10	2	no	yes
3169	4395	1	32755	Barrier	Pass	10	0	no	yes
3170	4379	1	32755	Barrier	Pass	10	2	no	yes
3170	4395	1	32755	Barrier	Pass	10	0	no	yes
3171	4379	1	32755	Barrier	Pass	10	2	no	yes
3171	4395	1	32755	Barrier	Pass	10	0	no	yes
3185	4445	0	32755	Barrier	Pass	10	1	no	yes
3185	4446	0	32755	Barrier	Pass	10	1	no	yes
3185	4447	0	32755	Barrier	Pass	10	1	no	yes
3185	4448	0	32755	Barrier	Pass	10	1	no	yes
3278	4307	0	32755	Barrier	Pass	10	2	no	yes
3279	4307	0	32755	Barrier	Pass	10	2	no	yes
3280	4307	0	32755	Barrier	Pass	10	2	no	yes
3281	4307	0	32755	Barrier	Pass	10	2	no	yes
3287	4446	0	32755	Barrier	Pass	10	3	no	yes
3287	4447	0	32755	Barrier	Pass	10	3	no	yes
3287	4448	0	32755	Barrier	Pass	10	3	no	yes
3287	4449	0	32755	Barrier	Pass	10	3	no	yes
3295	4255	1	32755	Barrier	Pass	10	0	no	yes
3296	4255	1	32755	Barrier	Pass	10	0	no	yes
3304	4446	0	32755	Barrier	Pass	10	1	no	yes
3304	4447	0	32755	Barrier	Pass	10	1	no	yes
3304	4448	0	32755	Barrier	Pass	10	1	no	yes
3304	4449	0	32755	Barrier	Pass	10	1	no	yes
3532	5274	0	45135	Barrier	Pass	10	3	no	no
3532	5286	0	45135	Barrier	Pass	10	3	no	no
3669	5279	0	45135	Barrier	Pass	10	3	no	no
3669	5280	0	45135	Barrier	Pass	10	3	no	no
3669	5281	0	45135	Barrier	Pass	10	3	no	no
3674	8607	0	56375	Barrier	Enter	0	0	no	no
3674	8608	0	56375	Barrier	Enter	0	0	no	no
3685	8607	0	56375	Barrier	Enter	0	2	no	no
3685	8608	0	56375	Barrier	Enter	0	2	no	no
3691	5279	0	45135	Barrier	Pass	10	1	no	no
3691	5280	0	45135	Barrier	Pass	10	1	no	no
3691	5281	0	45135	Barrier	Pass	10	1	no	no
3796	5279	0	45135	Barrier	Pass	10	3	no	no
3796	5280	0	45135	Barrier	Pass	10	3	no	no
3796	5281	0	45135	Barrier	Pass	10	3	no	no
3820	5279	0	45135	Barrier	Pass	10	1	no	no
3820	5280	0	45135	Barrier	Pass	10	1	no	no
3820	5281	0	45135	Barrier	Pass	10	1	no	no
3922	5279	0	45135	Barrier	Pass	10	3	no	no
3922	5280	0	45135	Barrier	Pass	10	3	no	no
3922	5281	0	45135	Barrier	Pass	10	3	no	no
3950	5279	0	45135	Barrier	Pass	10	1	no	no
3950	5280	0	45135	Barrier	Pass	10	1	no	no
3950	5281	0	45135	Barrier	Pass	10	1	no	no
2450	4573	1	4556	Basalt rock	Jump-across	10	0	no	yes
2450	4575	1	4557	Basalt rock	Jump-across	10	0	no	yes
2450	4577	1	4558	Basalt rock	Jump-across	10	0	no	yes
2452	4571	1	4555	Basalt rock	Jump-across	10	0	no	yes
2454	4571	1	4554	Basalt rock	Jump-across	10	0	no	yes
2458	4557	1	4551	Basalt rock	Jump-across	10	0	no	yes
2458	4560	1	4552	Basalt rock	Jump-across	10	0	no	yes
2458	4562	1	4553	Basalt rock	Jump-across	10	0	no	yes
2514	3613	1	4556	Basalt rock	Jump-across	10	0	no	yes
2514	3615	1	4557	Basalt rock	Jump-across	10	0	no	yes
2514	3617	1	4558	Basalt rock	Jump-across	10	0	no	yes
2516	3611	1	4555	Basalt rock	Jump-across	10	0	no	yes
2518	3611	1	4554	Basalt rock	Jump-across	10	0	no	yes
2522	3597	1	4551	Basalt rock	Jump-across	10	0	no	yes
2522	3600	1	4552	Basalt rock	Jump-across	10	0	no	yes
2522	3602	1	4553	Basalt rock	Jump-across	10	0	no	yes
2584	2282	0	62260	Basalt stepping stone	Cross	10	3	no	no
2584	2284	0	62260	Basalt stepping stone	Cross	10	3	no	no
3351	2962	0	14935	Basket	Climb-on	10	0	no	yes
2507	3011	0	2832	Battlement	Climb-over	10	1	no	yes
2507	3012	0	2832	Battlement	Climb-over	10	1	no	yes
2567	3021	1	2834	Battlement	Climb-over	22	3	no	yes
2567	3022	1	2834	Battlement	Climb-over	22	1	no	yes
2458	4555	1	4550	Beach	Jump-to	10	0	no	yes
2522	3595	1	4550	Beach	Jump-to	10	0	no	yes
1512	3619	2	42220	Beam	Grapple	10	3	no	yes
1512	3637	2	42217	Beam	Grapple	10	1	no	yes
2139	5518	3	24819	Beanstalk	Climb-down	10	2	no	yes
3282	3382	0	2032	Bedroom door	Open	0	2	no	yes
3655	3751	0	30671	Bellshroom	Exit	10	0	no	yes
2851	5333	2	26461	Big door	Open	0	0	no	yes
3290	3158	0	33348	Big window	Enter	0	1	no	yes
3156	9704	0	40331	Blockage	Climb-over	10	0	no	yes
1943	5977	0	40437	Blue Barrier	Pass	0	2	no	yes
1948	5971	0	40437	Blue Barrier	Pass	0	1	no	yes
1948	5983	0	40437	Blue Barrier	Pass	0	3	no	yes
2135	2905	0	40454	Blue Barrier	Pass	0	2	no	yes
2140	2899	0	40454	Blue Barrier	Pass	0	1	no	yes
2140	2911	0	40454	Blue Barrier	Pass	0	3	no	yes
2931	9644	0	2599	Blue door	Open	0	0	no	yes
1899	3847	0	21177	Boat	Travel	10	3	no	yes
2062	5034	2	13864	Boat	Escape-event	10	0	no	yes
2654	3985	1	21175	Boat	Travel	10	2	no	yes
2654	3985	0	21177	Boat	Travel	10	0	no	yes
2843	3967	0	21177	Boat	Travel	10	2	no	yes
3604	3160	0	17955	Boat	Board	10	3	no	yes
1383	3662	0	33614	Boaty	Board	10	3	no	yes
1405	3611	0	33614	Boaty	Board	10	0	no	yes
2309	5240	0	23732	Bone Chain	Climb-up	10	1	no	yes
2309	5240	1	23920	Bone Chain	Climb-down	10	1	no	yes
2309	5240	2	23920	Bone Chain	Climb-down	10	1	no	yes
2309	5240	3	23920	Bone Chain	Climb-down	10	1	no	yes
2350	5215	1	23920	Bone Chain	Climb-down	10	0	no	yes
2350	5215	2	23920	Bone Chain	Climb-down	10	0	no	yes
2350	5215	3	23920	Bone Chain	Climb-down	10	0	no	yes
2358	5216	1	23921	Boney ladder	Climb-up	10	3	no	yes
2358	5216	2	23921	Boney ladder	Climb-up	10	3	no	yes
2358	5216	3	23921	Boney ladder	Climb-up	10	3	no	yes
2857	10221	0	6092	Bookcase	Climb	10	2	no	yes
2858	10225	1	6092	Bookcase	Climb	10	3	no	yes
2859	10228	0	6092	Bookcase	Climb	10	0	no	yes
2863	10226	1	6092	Bookcase	Climb	10	0	no	yes
2865	10226	0	6092	Bookcase	Climb	10	1	no	yes
1776	3883	1	27990	Boulder	Jump	10	2	no	yes
3140	3621	0	47346	Bounty Hunter portal	Enter	10	1	no	yes
3423	4063	0	47347	Bounty Hunter portal	Enter	10	2	no	no
1633	5681	1	32327	Bowsprit	Climb-up	10	2	no	yes
1995	4680	1	3255	Bridge	Cross	10	0	no	yes
1999	4674	1	3254	Bridge	Cross	10	3	no	yes
2020	4678	1	3254	Bridge	Cross	10	1	no	yes
2032	4689	1	3255	Bridge	Cross	10	2	no	yes
2033	4701	1	3254	Bridge	Cross	10	2	no	yes
2033	4718	1	3255	Bridge	Cross	10	0	no	yes
2034	4727	1	3254	Bridge	Cross	10	0	no	yes
2121	4686	1	3255	Bridge	Cross	10	3	no	yes
2123	4582	1	3255	Bridge	Cross	10	2	no	yes
2123	4616	1	3255	Bridge	Cross	10	0	no	yes
2126	4566	1	3255	Bridge	Cross	10	1	no	yes
2127	4592	1	3254	Bridge	Cross	10	0	no	yes
2127	4610	1	3254	Bridge	Cross	10	3	no	yes
2136	4584	1	3254	Bridge	Cross	10	3	no	yes
2142	4562	1	3254	Bridge	Cross	10	2	no	yes
2143	4604	1	3255	Bridge	Cross	10	3	no	yes
2145	4717	1	3254	Bridge	Cross	10	0	no	yes
2147	4583	1	3255	Bridge	Cross	10	1	no	yes
2148	4614	1	3254	Bridge	Cross	10	1	no	yes
2154	4690	1	3254	Bridge	Cross	10	2	no	yes
2155	4704	1	3255	Bridge	Cross	10	0	no	yes
2155	4718	1	3254	Bridge	Cross	10	2	no	yes
2156	4582	1	3255	Bridge	Cross	10	1	no	yes
2158	4724	1	3254	Bridge	Cross	10	1	no	yes
2160	4625	1	3255	Bridge	Cross	10	2	no	yes
2161	4599	1	3255	Bridge	Cross	10	0	no	yes
2161	4637	1	3254	Bridge	Cross	10	2	no	yes
2161	4654	1	3255	Bridge	Cross	10	0	no	yes
2162	4663	1	3254	Bridge	Cross	10	0	no	yes
2164	4686	1	3255	Bridge	Cross	10	1	no	yes
3440	3329	1	3522	Bridge	Jump	22	3	no	yes
3440	3331	1	3522	Bridge	Jump	22	3	no	yes
3441	3329	1	3522	Bridge	Jump	22	3	no	yes
3441	3331	1	3522	Bridge	Jump	22	3	no	yes
3503	3556	1	5159	Bridge	Cross	22	2	no	yes
3503	3557	1	5159	Bridge	Cross	22	2	no	yes
3503	3558	1	5159	Bridge	Cross	22	2	no	yes
3504	3556	1	5159	Bridge	Cross	22	2	no	yes
3504	3557	1	5159	Bridge	Cross	22	2	no	yes
3504	3558	1	5159	Bridge	Cross	22	2	no	yes
4112	4697	2	53512	Bridge	Jump-to	22	0	no	no
4112	4702	2	53511	Bridge	Jump-to	22	0	no	no
4113	4697	2	53512	Bridge	Jump-to	22	2	no	no
4113	4702	2	53511	Bridge	Jump-to	22	2	no	no
1565	5058	0	32132	Broken Doors	Enter	10	2	no	yes
3547	10482	0	32117	Broken Doors	Enter	10	0	no	yes
3252	3179	0	17068	Broken Raft	Grapple	22	0	no	yes
3282	9867	0	14203	Broken bars	Climb-through (normal)	10	1	no	yes
2596	3608	1	4615	Broken bridge	Cross	10	1	no	yes
2598	3608	1	4616	Broken bridge	Cross	10	1	no	yes
3538	3261	0	18411	Broken fence	Climb-over	0	1	no	yes
3582	3263	0	18411	Broken fence	Climb-over	0	1	no	yes
4012	4964	0	2618	Broken fence	Climb-over	10	1	no	no
3608	3209	0	17977	Broken stairs	Climb-up	10	0	no	yes
3608	3209	1	17979	Broken stairs	Climb-down	10	0	no	yes
3491	3230	0	12737	Broken wall	Climb-over	0	1	no	yes
2610	9195	1	28794	Bronze Door	Open	0	2	no	yes
2657	7816	0	40787	Bush	Crawl-through	10	2	no	no
2667	7837	0	40787	Bush	Crawl-through	10	2	no	no
2203	5474	0	1281	Cage door	Open	0	2	no	yes
1570	3484	1	29681	Carved redwood	Enter	10	2	no	yes
1570	3484	2	29682	Carved redwood	Enter	10	2	no	yes
1570	3490	1	29681	Carved redwood	Enter	10	0	no	yes
1570	3490	2	29682	Carved redwood	Enter	10	0	no	yes
3146	3638	0	30386	Castle Wars portal	Enter	10	1	no	yes
2959	3335	2	24062	Castle door	Open	0	3	no	yes
2960	3335	2	24060	Castle door	Open	0	3	no	yes
2960	3342	2	24060	Castle door	Open	0	1	no	yes
2961	3342	2	24062	Castle door	Open	0	1	no	yes
2965	3338	0	24059	Castle door	Open	0	0	no	yes
2965	3339	0	24064	Castle door	Open	0	0	no	yes
2970	3337	0	24064	Castle door	Open	0	3	no	yes
2971	3337	0	24059	Castle door	Open	0	3	no	yes
2981	3340	0	24064	Castle door	Open	0	2	no	yes
2981	3341	0	24059	Castle door	Open	0	2	no	yes
3045	3371	0	24059	Castle door	Open	0	1	no	yes
3046	3371	0	24064	Castle door	Open	0	1	no	yes
3141	3638	1	39639	Casual	Pass-Through	0	1	no	yes
3142	3638	1	39639	Casual	Pass-Through	0	1	no	yes
2541	2215	0	62368	Cathedral door	Open	0	2	no	no
2541	2216	0	62369	Cathedral door	Open	0	2	no	no
1181	3284	0	48717	Cave	Enter	10	1	no	no
1189	10029	0	20853	Cave	Exit	10	0	no	yes
1211	3646	0	20852	Cave	Enter	10	2	no	yes
1231	3728	0	34499	Cave	Enter	10	1	no	yes
1242	10081	0	34435	Cave	Exit	9	1	no	yes
1244	9528	0	57592	Cave	Enter	10	3	no	no
1245	3035	0	57631	Cave	Crawl-through	10	2	no	no
1270	3434	0	57220	Cave	Pass-through	10	2	no	no
1275	9770	0	57273	Cave	Enter	10	0	no	no
1278	3167	0	57631	Cave	Crawl-through	10	1	no	no
1288	3133	0	57591	Cave	Enter	10	2	no	no
1295	3373	0	56439	Cave	Enter	10	2	no	no
1295	9768	0	56440	Cave	Exit	10	3	no	no
1297	9778	0	57274	Cave	Enter	10	1	no	no
1324	3364	0	57279	Cave	Squeeze-through	10	0	no	no
1324	9766	0	57278	Cave	Squeeze-through	10	1	no	no
1350	3123	0	57631	Cave	Crawl-through	10	0	no	no
1475	9456	1	47147	Cave	Exit	10	2	no	no
1487	9501	1	54690	Cave	Exit	10	0	no	no
1536	9445	1	51760	Cave	Exit	10	2	no	no
1601	3506	0	28855	Cave	Enter	10	3	no	yes
1630	11527	2	47000	Cave	Exit	10	1	no	no
1758	11531	0	47122	Cave	Exit	10	1	no	no
1820	9455	1	47147	Cave	Exit	10	3	no	no
1886	11534	1	46925	Cave	Exit	10	1	no	no
1938	8966	1	31807	Cave	Enter	10	1	no	yes
1940	2804	0	60166	Cave	Enter	10	3	no	no
1958	9189	0	60167	Cave	Exit	10	0	no	no
1970	9033	1	31806	Cave	Enter	10	1	no	yes
2112	4729	1	3222	Cave	Descend	10	2	no	yes
2116	5990	0	40736	Cave	Enter	10	3	no	yes
2150	4545	1	3222	Cave	Descend	10	1	no	yes
2200	3262	0	35846	Cave	Enter	10	0	no	yes
2200	9671	0	35845	Cave	Exit	10	2	no	yes
2264	3418	0	36598	Cave	Enter	10	0	no	yes
2304	9915	0	3223	Cave	Ascend	10	2	no	yes
2308	2918	0	40736	Cave	Enter	10	3	no	yes
2336	9793	0	3223	Cave	Ascend	10	1	no	yes
2392	9647	0	3217	Cave	Enter	10	3	no	yes
2428	3423	0	26709	Cave	Enter	10	3	no	yes
2432	6203	0	3223	Cave	Ascend	10	2	no	yes
2438	9607	0	3224	Cave	Enter	10	2	no	yes
2464	6081	0	3223	Cave	Ascend	10	1	no	yes
2482	9714	0	35940	Cave	Enter	10	1	no	yes
2511	2927	0	19753	Cave	Enter	22	1	no	yes
2525	2893	0	19039	Cave	Enter	10	3	no	yes
2527	9317	0	19760	Cave	Exit	10	1	no	yes
2527	9324	0	19759	Cave	Exit	10	1	no	yes
2529	2206	0	62219	Cave	Enter	10	0	no	no
2533	9293	0	19037	Cave	Exit	10	1	no	yes
2562	8629	0	62220	Cave	Exit	10	2	no	no
2689	10124	0	23158	Cave	Exit	10	1	no	yes
2689	10125	0	23157	Cave	Exit	10	1	no	yes
2705	10204	0	19764	Cave	Exit	10	3	no	yes
2707	10209	0	19763	Cave	Exit	10	3	no	yes
2755	10258	0	50585	Cave	Exit	10	3	no	no
2912	7833	0	61994	Cave	Escape	10	2	no	no
2928	7892	0	61992	Cave	Enter	10	1	no	no
2943	2894	0	32479	Cave	Enter	10	1	no	yes
3016	3738	0	26766	Cave	Enter	10	2	no	yes
3055	9743	0	30374	Cave	Enter	10	1	no	yes
3059	9764	0	26654	Cave	Enter	10	2	no	yes
3201	3679	0	678	Cave	Enter	10	3	no	yes
3224	6014	0	35846	Cave	Enter	10	0	no	yes
3224	6043	0	36690	Cave	Enter	10	1	no	yes
3260	3832	0	47175	Cave	Enter	10	0	no	yes
3282	3774	0	47175	Cave	Enter	10	0	no	yes
3284	3807	0	47175	Cave	Enter	10	0	no	yes
3288	6170	0	36598	Cave	Enter	10	0	no	yes
3294	10190	1	46925	Cave	Exit	10	1	no	no
3319	3121	0	30180	Cave	Enter	10	3	no	yes
3320	3830	0	47175	Cave	Enter	10	0	no	yes
3336	10287	0	47148	Cave	Exit	10	2	no	no
3358	10244	0	47147	Cave	Exit	10	1	no	no
3358	10315	0	47122	Cave	Exit	10	1	no	no
3359	3150	0	44635	Cave	Enter	10	0	no	yes
3382	10287	0	47148	Cave	Exit	10	3	no	no
3405	3160	0	19798	Cave	Enter	22	2	no	yes
3419	9560	0	19791	Cave	Exit	10	2	no	yes
3422	10183	2	47000	Cave	Exit	10	1	no	no
3427	9561	0	19792	Cave	Exit	10	2	no	yes
3500	9803	0	43759	Cave	Enter	10	1	no	yes
3540	9772	0	43762	Cave	Enter	0	0	no	yes
3542	9772	0	43763	Cave	Enter	0	2	no	yes
3555	9784	0	43757	Cave	Enter	0	3	no	yes
3555	9787	0	43758	Cave	Enter	0	1	no	yes
3560	9810	0	43756	Cave	Enter	0	3	no	yes
3560	9813	0	43755	Cave	Enter	0	1	no	yes
3656	3408	0	42594	Cave	Enter	10	0	no	yes
3678	9795	0	42595	Cave	Exit	10	1	no	no
1736	2944	0	51852	Cave Entrance	Enter	10	2	no	no
2257	10481	0	32047	Cave Entrance	Enter	10	1	no	yes
2277	3611	0	30177	Cave Entrance	Enter	10	0	no	yes
2774	3619	0	4147	Cave Entrance	Enter	10	1	no	yes
2866	9672	0	32198	Cave Entrance	Enter	10	0	no	yes
2907	3652	0	3757	Cave Entrance	Enter	10	2	no	yes
3115	3676	0	47141	Cave Entrance	Enter	10	0	no	yes
3183	3744	0	47078	Cave Entrance	Enter	10	1	no	yes
3291	3849	0	47140	Cave Entrance	Enter	10	3	no	yes
3321	3794	0	47077	Cave Entrance	Enter	10	1	no	yes
3745	3777	0	30869	Cave Entrance	Enter	10	2	no	yes
1971	5036	0	9293	Cave Exit	Exit	10	2	no	yes
2268	4750	0	3736	Cave Exit	Exit	10	2	no	yes
2276	9987	0	30178	Cave Exit	Leave	0	1	no	yes
2892	10072	0	3760	Cave Exit	Exit	10	2	no	yes
2892	10072	2	3760	Cave Exit	Exit	10	2	no	yes
2906	10017	0	3758	Cave Exit	Exit	10	2	no	yes
3603	10232	0	30878	Cave Exit	Exit	10	3	no	yes
1190	2785	0	60202	Cave entrance	Enter	11	3	no	no
1860	4957	1	8881	Cave entrance	Go-through	0	2	no	yes
1861	4939	2	8883	Cave entrance	Enter	0	2	no	yes
1867	4983	2	8883	Cave entrance	Enter	0	2	no	yes
1889	4982	2	8884	Cave entrance	Enter	0	0	no	yes
1897	4965	2	8883	Cave entrance	Enter	0	2	no	yes
1913	4941	2	8884	Cave entrance	Enter	0	0	no	yes
1914	4965	2	8884	Cave entrance	Enter	0	0	no	yes
1965	3094	0	60173	Cave entrance	Enter	10	2	no	no
1993	4983	3	19891	Cave entrance	Exit	0	2	no	yes
2218	2329	0	60129	Cave entrance	Enter	11	0	no	no
2218	3478	0	60169	Cave entrance	Enter	11	3	no	yes
2313	3215	0	4006	Cave entrance	Enter	10	1	no	yes
2335	10346	2	11399	Cave entrance	Crawl-through	0	3	no	yes
2341	10355	2	11399	Cave entrance	Crawl-through	0	1	no	yes
2412	5118	0	11834	Cave entrance	Leave	10	0	no	yes
2433	3313	0	3213	Cave entrance	Enter	10	3	no	yes
2437	5166	0	11833	Cave entrance	Enter	10	2	no	yes
2444	2819	0	31606	Cave entrance	Enter	10	0	no	yes
2504	3037	0	2804	Cave entrance	Enter	10	3	no	yes
2519	3738	0	8929	Cave entrance	Enter	10	2	no	yes
2522	3068	0	2806	Cave entrance	Enter	10	2	no	yes
2527	3011	0	2810	Cave entrance	Enter	10	3	no	yes
2539	3052	0	2807	Cave entrance	Enter	10	2	no	yes
2542	3740	0	8930	Cave entrance	Enter	10	3	no	yes
2598	9468	0	2813	Cave entrance	Enter	10	0	no	yes
2629	2998	0	3379	Cave entrance	Enter	10	0	no	yes
2743	3832	0	8930	Cave entrance	Enter	10	1	no	yes
2761	6159	0	4006	Cave entrance	Enter	10	1	no	yes
2809	3703	0	5857	Cave entrance	Enter	10	1	no	yes
2820	3743	0	5007	Cave entrance	Enter	10	3	no	yes
2912	4066	0	60117	Cave entrance	Enter	10	1	no	no
2947	3506	0	40887	Cave entrance	Enter	10	3	no	yes
3045	2997	0	58092	Cave entrance	Enter	10	0	no	yes
3120	2489	0	57908	Cave entrance	Enter	10	3	no	no
3235	2417	0	57915	Cave entrance	Enter	10	1	no	no
3269	6047	0	36556	Cave entrance	Enter	10	1	no	yes
3337	5967	0	4006	Cave entrance	Enter	10	1	no	yes
1190	9185	0	60203	Cave exit	Exit	10	1	no	no
1311	10185	0	34514	Cave exit	Exit	10	0	no	yes
